icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,squawk,spi,position_source,extra_col_0,temperature,humidity,wind_speed,city,latitude,longitude,distance,delayed
407a06,EZY84RC ,United Kingdom,1730559842.0,1730559842,27.6003,40.6222,11285.22,False,246.08,158.15,0.0,,11643.36,2154.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,8026.712366755756,1
ab166d,N813VS  ,United States,1730559842.0,1730559842,-81.4717,28.5613,1386.84,False,58.13,233.64,2.6,,1485.9,,False,0,13.12,49,6.69,New York,40.7128,-74.006,1510.3860487394604,0
801633,AKJ143G ,India,1730559838.0,1730559838,77.4394,14.0704,7414.26,False,192.2,326.91,8.78,,6934.2,,False,0,13.12,49,6.69,New York,40.7128,-74.006,13266.416945009714,0
a34e4f,N312AR  ,United States,1730559648.0,1730559654,-86.2263,33.3693,1729.74,False,73.85,202.1,0.0,,1844.04,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,952.4423649785882,0
a46e35,DAL1788 ,United States,1730559796.0,1730559837,-80.9107,25.3471,3383.28,False,173.46,38.74,-2.28,,3596.64,3461.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,1820.5680027299472,0
ab5cf4,WUP831  ,United States,1730559842.0,1730559843,-80.2341,35.5341,9753.6,False,213.9,202.19,0.0,,10233.66,6403.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,792.4495299285177,0
39de40,TVF36HW ,France,1730559843.0,1730559843,-0.3277,45.7593,11582.4,False,233.8,29.39,-0.33,,11948.16,1000.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5795.43310258674,1
a545fc,EJA439  ,United States,1730559803.0,1730559803,-87.7603,41.7882,,True,2.83,70.31,,,,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,14.738198173776253,0
a2355d,SKW3781 ,United States,1730559843.0,1730559843,-122.5667,46.353,7703.82,False,181.09,0.33,-9.75,,7604.76,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,1414.0043866049914,0
39de41,TVF29HF ,France,1730559842.0,1730559842,16.8483,45.5533,11269.98,False,246.18,120.1,0.0,,11727.18,7553.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6996.872491613907,1
ac2f83,SWA2800 ,United States,1730559842.0,1730559842,-75.9534,40.024,10363.2,False,204.61,236.59,0.0,,10706.1,1606.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,182.22150389866874,1
