callsign,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,position_source,extra_col_0
ACA1040 ,1733862313.0,1733862313,-86.4304,41.7496,10668.0,False,279.9,76.93,0.0,,False,0
DAL1914 ,1733862229.0,1733862229,-111.7686,33.4007,11277.6,False,281.44,161.23,0.33,,False,0
DLH1V   ,1733862268.0,1733862268,8.5237,49.9359,2697.48,False,178.1,249.37,-5.2,,False,0
TOM2XM  ,1733862313.0,1733862313,-6.8886,52.862,11277.6,False,210.37,22.43,0.0,,False,0
UAL2002 ,1733862270.0,1733862270,-77.206,38.1497,11277.6,False,262.7,32.85,0.0,,False,0
N900ZZ  ,1733862288.0,1733862288,-98.3865,30.9025,3116.58,False,75.74,256.25,0.65,,False,0
N597VF  ,1733862312.0,1733862312,-97.9256,30.4316,7924.8,False,101.24,295.91,0.0,,False,0
,1733862275.0,1733862275,-89.6093,41.5873,8115.3,False,163.12,243.6,4.55,,False,0
EWG6RY  ,1733862313.0,1733862313,9.959,45.0586,11582.4,False,232.52,330.15,-0.33,,False,0
MXD820  ,1733862208.0,1733862208,122.7331,25.7018,10668.0,False,270.19,49.94,0.0,,False,0
AAL1806 ,1733862140.0,1733862189,-83.1272,37.5314,11277.6,False,300.41,80.54,0.33,,False,0
LEAD53  ,1733862310.0,1733862310,-118.7292,34.0616,746.76,False,84.55,262.66,0.0,,False,0
EDV5127 ,1733862313.0,1733862313,-76.3156,40.9393,5654.04,False,188.56,107.79,-7.48,,False,0
,1733862251.0,1733862251,11.7752,48.3634,342.9,False,64.71,83.61,-0.98,,False,0
,1733862311.0,1733862311,-97.2225,36.8174,10972.8,False,211.44,309.97,-0.33,,False,0
JAL44   ,1733862312.0,1733862312,7.8764,50.237,9448.8,False,215.18,106.53,0.0,,False,0
AAL26   ,1733862310.0,1733862310,-119.4029,34.8333,7475.22,False,218.44,143.43,-9.1,,False,0
DLH4H   ,1733862308.0,1733862312,2.0409,51.1418,10721.34,False,191.9,103.96,4.55,,False,0
GWI3JN  ,1733862312.0,1733862313,11.2206,50.6714,9151.62,False,220.45,355.18,-0.33,,False,0
PDT5717 ,1733862300.0,1733862310,-72.4361,41.274,6096.0,False,185.51,218.81,-0.33,,False,0
DLH888  ,1733862313.0,1733862313,9.0155,50.4759,5623.56,False,184.51,26.49,11.05,,False,0
EWG62J  ,1733862311.0,1733862311,9.6673,53.3973,1074.42,False,120.71,325.77,-4.23,,False,0
SCX242  ,1733862295.0,1733862295,-81.8204,27.2425,5806.44,False,203.22,342.62,11.05,,False,0
LFA535  ,1733862296.0,1733862296,-81.4677,28.8015,762.0,False,52.87,100.65,-0.33,,False,0
AEA7319 ,1733862199.0,1733862199,-8.2717,42.0666,4922.52,False,168.94,104.46,14.63,,False,0
GTI8123 ,1733862312.0,1733862312,-87.9475,42.2147,3810.0,False,161.97,6.2,19.18,,False,0
DAL665  ,1733862313.0,1733862313,-117.4041,33.7684,2971.8,False,156.57,144.9,9.75,,False,0
UAL1847 ,1733862313.0,1733862313,-87.3069,42.0577,10972.8,False,178.24,272.98,0.0,,False,0
EPI544  ,1733862198.0,1733862198,-80.8938,28.9291,320.04,False,50.64,69.17,-0.33,,False,0
N7YA    ,1733862312.0,1733862312,-81.7902,35.4765,10668.0,False,256.3,63.02,-0.33,,False,0
VTM287  ,1733862058.0,1733862310,-92.5004,34.3916,9753.6,False,169.99,222.92,0.0,,False,0
KING73  ,1733862226.0,1733862271,-73.5546,39.8307,6705.6,False,134.64,220.51,0.0,,False,0
N686MA  ,1733862306.0,1733862306,-97.8494,36.1558,1752.6,False,104.44,89.15,0.33,,False,0
